section,area,block,question_id,question_text,type,option_a,option_b,option_c,option_d,option_e,correct_option,scale_mapping,scoring_mapping,weight_to_100,locale
Metadatos,Todas,Perfil,M1,País de residencia,Dropdown,Argentina; Bolivia; Chile; Colombia; Costa Rica; Cuba; Ecuador; El Salvador; España; Guinea Ecuatorial; Guatemala; Honduras; México; Nicaragua; Panamá; Paraguay; Perú; Puerto Rico; República Dominicana; Uruguay; Venezuela,,,,,,,,,MX/LATAM
Metadatos,Todas,Perfil,M2,Área profesional a la que perteneces (elige una),Dropdown,CEO/Alta Dirección; Tecnología/Desarrollo de Software; Marketing y Comunicación; Salud/Medicina; Derecho/Sector Legal; Finanzas/Contabilidad; Administración Pública/Gobierno; Academia/Investigación; Educación/Docentes; Diseño/Industrias Creativas,,,,,,,,,MX/LATAM
Metadatos,Todas,Perfil,M3,Tamaño de la organización,Multiple Choice (una respuesta),A) Micro (1–10),B) Pequeña (11–50),C) Mediana (51–250),D) Grande (251+),,,,,,MX/LATAM
Metadatos,Todas,Perfil,M4,Sector/Industria principal,Multiple Choice (una respuesta),A) Manufactura/Logística/Agro,B) Retail/Consumo,C) Servicios financieros/Fintech/Seguros,D) Salud/Educación/Gobierno,E) TIC/Software/Medios/Creativas/Otros,,,,,MX/LATAM
Metadatos,Todas,Perfil,M5,Año de inicio de iniciativas con Gen-AI (aprox.),Short Answer,,,,,,,,,,MX/LATAM
Metadatos,Todas,Perfil,M6,Rol específico dentro del área (texto libre),Short Answer,,,,,,,,,,MX/LATAM
Cuestionario,CEO/Alta Dirección,Adopción,A1,"¿Con qué frecuencia impulsa iniciativas de Gen-AI con presupuesto y OKRs explícitos (p. ej., automatización de back-office, copilots comerciales, analytics aumentada)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,CEO/Alta Dirección,Adopción,A2,"¿Con qué frecuencia revisa y decide sobre el portafolio de casos de uso de Gen-AI (priorización por valor/viabilidad, stage-gate)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,CEO/Alta Dirección,Adopción,A3,"¿Con qué frecuencia consulta métricas de valor (ahorros, ingresos, time-to-market, NPS interno) con línea base y responsables?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,CEO/Alta Dirección,Adopción,A4,"¿Con qué frecuencia participa en la gobernanza: políticas de uso, guardrails, comité de IA, evaluación de alto riesgo (salud, financiero, contratación, servicios públicos)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
