id,codigo,section,bloque,area_id,exclusivo_rol_id,texto,tipo,opciones,locale,peso,escala,scoring,created_at
1,M1,Metadatos,Perfil,1,,País de residencia,Dropdown,"[""Argentina"",""Bolivia"",""Chile"",""Colombia"",""Costa Rica"",""Cuba"",""Ecuador"",""El Salvador"",""España"",""Guinea Ecuatorial"",""Guatemala"",""Honduras"",""México"",""Nicaragua"",""Panamá"",""Paraguay"",""Perú"",""Puerto Rico"",""República Dominicana"",""Uruguay"",""Venezuela""]",MX/LATAM,0,,,2025-08-23 01:29:48.905417+00
2,M2,Metadatos,Perfil,1,,Área profesional a la que perteneces (elige una),Dropdown,"[""CEO/Alta Dirección"",""Tecnología/Desarrollo de Software"",""Marketing y Comunicación"",""Salud/Medicina"",""Derecho/Sector Legal"",""Finanzas/Contabilidad"",""Administración Pública/Gobierno"",""Academia/Investigación"",""Educación/Docentes"",""Diseño/Industrias Creativas""]",MX/LATAM,0,,,2025-08-23 01:29:48.905417+00
3,M3,Metadatos,Perfil,1,,Tamaño de la organización,Multiple Choice (una respuesta),"[""A) Micro (1–10)"",""B) Pequeña (11–50)"",""C) Mediana (51–250)"",""D) Grande (251+)""]",MX/LATAM,0,,,2025-08-23 01:29:48.905417+00
4,M4,Metadatos,Perfil,1,,Sector/Industria principal,Multiple Choice (una respuesta),"[""A) Manufactura/Logística/Agro"",""B) Retail/Consumo"",""C) Servicios financieros/Fintech/Seguros"",""D) Salud/Educación/Gobierno"",""E) TIC/Software/Medios/Creativas/Otros""]",MX/LATAM,0,,,2025-08-23 01:29:48.905417+00
5,M5,Metadatos,Perfil,1,,Año de inicio de iniciativas con Gen-AI (aprox.),Short Answer,,MX/LATAM,0,,,2025-08-23 01:29:48.905417+00
6,M6,Metadatos,Perfil,1,,Rol específico dentro del área (texto libre),Short Answer,,MX/LATAM,0,,,2025-08-23 01:29:48.905417+00
7,A1,Cuestionario,Adopción,2,1,"¿Con qué frecuencia impulsa iniciativas de Gen-AI con presupuesto y OKRs explícitos (p. ej., automatización de back-office, copilots comerciales, analytics aumentada)?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:30:45.230587+00
8,A2,Cuestionario,Adopción,2,1,"¿Con qué frecuencia revisa y decide sobre el portafolio de casos de uso de Gen-AI (priorización por valor/viabilidad, stage-gate)?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:30:45.230587+00
9,A3,Cuestionario,Adopción,2,1,"¿Con qué frecuencia consulta métricas de valor (ahorros, ingresos, time-to-market, NPS interno) con línea base y responsables?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:30:45.230587+00
10,A4,Cuestionario,Adopción,2,1,"¿Con qué frecuencia participa en la gobernanza: políticas de uso, guardrails, comité de IA, evaluación de alto riesgo (salud, financiero, contratación, servicios públicos)?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:30:45.230587+00
